analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation
6,"Fully adjusted pooled logistic regression main analysis for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2; used to produce marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Inference Specification,"Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1), [...] diff.ll = diff+qnorm(0.025)*diff.se, [...] vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"")",match,"The paper specifies delta-method confidence intervals (with clustered sandwich SEs), and the code computes 95% normal-approximation CIs via qnorm(0.025/0.975) using a cluster-robust covariance matrix. These match in approach for the fully adjusted PLR analysis."
6,"Fully adjusted pooled logistic regression main analysis for covid-19–related A&E attendance comparing ChAdOx1 versus BNT162b2; used to produce marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Coding Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) …,"vax1_az = (vax1_type==""az"")*1 [...] vax1_az_descr = if_else(vax1_az==1, ""ChAdOx1"", ""BNT162b2"")",match,"The paper frames estimates as “ChAdOx1 versus BNT162b2,” and the code encodes the vaccine indicator as 1 for ChAdOx1 and 0 for BNT162b2 (and labels outputs accordingly). This alignment indicates consistent coding direction between paper and code."
7,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for unplanned covid-19–related hospital admission with vaccine-specific time-varying effect.,Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets [...] family = binomial,",match,The paper specifies pooled logistic regression with daily risk; the code implements pooled logistic regression via parglm with a binomial family.
7,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for unplanned covid-19–related hospital admission with vaccine-specific time-varying effect.,Variable Specification,"“Unplanned covid-19 related hospital admissions were identified using HES inpatient hospital records with U07.1 or U07.2 reason for admission ICD-10 codes.” [...] “We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) … with time since vaccination as the timescale and with the outcome risk estimated each day.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.”","""covidadmitted"", ""covidadmitted_date"", ""COVID-19 hospitalisation"", [...] vax1_az = (vax1_type==""az"")*1 [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)",match,"The code defines the outcome as COVID-19 hospitalisation, includes vaccine type with a vaccine-specific time-varying spline, and adjusts for region-specific calendar time, matching the paper’s variable specification. Minor wording differences (hospitalisation vs admission) do not change the variable roles."
7,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for unplanned covid-19–related hospital admission with vaccine-specific time-varying effect.,Parameter Specification,"“Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccine-specific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Person-time is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.” [...] “Using an intention-to-treat approach, comparative effectiveness estimates beyond 14 weeks were considered to be second-dose effects.”","nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0"")) %>% broom::tidy(conf.int=FALSE, exponentiate=exponentiate)
robustCIs <- lmtest::coefci(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""), level = conf.level) %>% tibble::as_tibble(rownames=""term"") [...] cmlinc_variance <- function(model, vcov, newdata, id, time, weights){
  # calculate variance of adjusted survival / adjusted cumulative incidence
  ...
  variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative) # t x 1
} [...] sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n),
...
sample_weights = sample_weights(!is.na(tte_outcome), sample_outcome), [...] sample_weights <- function(had_outcome, sampled){
  case_when(
    had_outcome ~ 1,
    !had_outcome & !sampled ~ 0,
    !had_outcome & sampled ~ sum(!had_outcome)/sum((sampled) & !had_outcome),
    TRUE ~ NA_real_
  )
} [...] action_model(""covidadmitted"", ""timesincevax"", ""1"", ""plr"", 50000)",match,"The code mirrors the paper’s parameters: event-time quartile spline knots, clustered sandwich standard errors, delta-method variance for marginal cumulative incidence, and sampling 50,000 non-events with inverse-probability weights; it also runs analyses without censoring at second dose for ITT over 20 weeks."
7,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for unplanned covid-19–related hospital admission with vaccine-specific time-varying effect.,Inference Specification,"Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","# calculate variance of adjusted survival / adjusted cumulative incidence [...] survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1), [...] diff.ll = diff+qnorm(0.025)*diff.se,",match,"The paper specifies delta-method confidence intervals for marginal cumulative incidence and their difference. The code computes variances via linearization and then forms 95% normal-approximation CIs using qnorm, consistent with the delta method."
7,Calendar-time/region–adjusted pooled logistic regression comparing ChAdOx1 versus BNT162b2 for unplanned covid-19–related hospital admission with vaccine-specific time-varying effect.,Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Knot locations were based on quartiles of the event times.” [...] “adjusting for region-specific calendar-time effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region …”","vax1_az = (vax1_type==""az"")*1 [...] timesincevax_pw = droplevels(timesince_cut(tstop, postvaxcuts)) [...] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region",match,"The paper specifies a vaccine-specific restricted cubic spline over time since vaccination and a region-specific calendar-time spline; the code codes vaccine as a 0/1 indicator (vax1_az), uses an event-time-based spline interacted with vax1_az, and includes ns(vax1_day, 3)*region. These coding choices align."
8,"Pooled logistic regression for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,"The paper specifies pooled logistic regression, and the code explicitly states it fits pooled logistic regression models for these analyses."
8,"Pooled logistic regression for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Variable Specification,"“OutcomesThree outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission. Unplanned covid-19 related hospital admissions were identified using HES inpatient hospital records with U07.1 or U07.2 reason for admission ICD-10 codes.”[...]“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.”[...]“Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.”[...]“Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ""at risk"" (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness. All characteristics were ascertained as at the time of vaccination.”","metadata_outcomes <- tribble(
  ~outcome, ~outcome_var, ~outcome_descr,
  ""test"", ""covid_test_date"", ""SARS-CoV-2 test"",
  ""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"",
  ""emergency"", ""emergency_date"", ""A&E attendance"",
  ""covidemergency"", ""emergency_covid_date"", ""COVID-19 A&E attendance"",
  ""admitted"", ""admitted_date"", ""Unplanned hospitalisation"",
  ""covidadmitted"", ""covidadmitted_date"", ""COVID-19 hospitalisation"",
  ""covidcc"", ""covidcc_date"", ""COVID-19 critical care"",
  ""coviddeath"", ""coviddeath_date"", ""COVID-19 death"",
  ""noncoviddeath"", ""noncoviddeath_date"", ""Non-COVID-19 death"",
  ""death"", ""death_date"", ""Any death"",
  ""seconddose"", ""covid_vax_any_2_date"", ""Second dose"",
)[...]vax1_az = (vax1_type==""az"")*1[...]formula_outcome <- outcome_event ~ 1[...]formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only[...]formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)[...]formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments[...]formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group[...]formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental",match,"The paper specifies the outcome, vaccine-specific time spline, region-by-calendar-time adjustment, and demographic/clinical controls; the code implements the ‘covidadmitted’ outcome and includes vax1_az with an ns(tstop) interaction, ns(vax1_day)*region, and the listed demographic and clinical covariates. Therefore the variable specification matches."
8,"Pooled logistic regression for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Parameter Specification,"“Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “PLR models are computationally expensive to fit, as the input dataset must be arranged as one row per person per day of follow-up. To manage this, a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Persontime is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.”","“nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
}” [...] “if(timescale==""timesincevax""){ [...] formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) }” [...] “robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""))” [...] “vcov <- vcovCL(plrmod, cluster = cluster, type = ""HC0"")” [...] “cmlinc_variance <- function(model, vcov, newdata, id, time, weights){

  # calculate variance of adjusted survival / adjusted cumulative incidence” [...] “# partial derivative of cumulative incidence at t” [...] “variance <- rowSums(crossprod(t(partial_derivative), vcov) * partial_derivative) # t x 1” [...] “sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n),

    sample_weights = sample_weights(!is.na(tte_outcome), sample_outcome),” [...] “plrmod3 <- parglm(
  formula = formula3_pw,
  data = data_plr,
  weights = sample_weights,
  family = binomial,
  control = parglmparams,
  na.action = ""na.fail"",
  model = FALSE
)” [...] “parglmparams <- parglm.control(
  method = ""LINPACK"",
  nthreads = 8,
  maxit = 40 # default = 25
)” [...] “action_model(""covidadmitted"", ""timesincevax"", ""1"", ""plr"", 50000),”",match,"The code implements event-time-based natural spline knots with df=4 (yielding quartiles), clustered sandwich standard errors, delta-method style variance for marginal cumulative incidence, and sampling 50,000 non-events with inverse-probability weights, matching the paper’s parameter specifications. It also adjusts calendar time by region via a spline interaction as described."
8,"Pooled logistic regression for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Inference Specification,"Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","mean.survivalse0 = sqrt(cmlinc_variance(plrmod0, vcov0, ccf, ccf$patient_id, ccf$tstop, ccf$sample_weights))
[...]
survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1),
survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse),
[...]
diff.ll = diff+qnorm(0.025)*diff.se,
diff.ul = diff+qnorm(0.975)*diff.se,",match,The paper specifies delta-method confidence intervals for cumulative incidence and their difference; the code implements this via variance functions and 95% CIs using normal quantiles. These approaches align.
8,"Pooled logistic regression for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2 with vaccine-specific time spline, adjusted for calendar time by region and additional demographic characteristics.",Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” […] “adjusting for region-specific calendar-time effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region.” […] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), … rurality (urban conurbation, urban city or town, rural town or village) …”","vax1_az = (vax1_type==""az"")*1 […] nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
} […] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) […] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region",match,"The paper specifies spline-based coding for time since vaccination and region-specific calendar time, along with categorical encodings for confounders; the code implements these via an AZ indicator (vax1_az), event-time-based spline basis (nsevents with quartiles), and ns(vax1_day, 3)*region. This matches the described coding approach."
9,"Fully adjusted pooled logistic regression main analysis for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2; used to derive marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,Both the paper and the code specify using pooled logistic regression (PLR) for the analysis. The code’s model_plr.R explicitly states it fits pooled logistic regression models.
9,"Fully adjusted pooled logistic regression main analysis for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2; used to derive marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Variable Specification,"“Unplanned covid-19 related hospital admissions were identified using HES inpatient hospital records with U07.1 or U07.2 reason for admission ICD-10 codes.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ‘at risk’ (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness. All characteristics were ascertained as at the time of vaccination.”","""covidadmitted"", ""covidadmitted_date"", ""COVID-19 hospitalisation"", [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4) [...] nsevents <- function(x, events, df){ [...] q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)]) } [...] formula_spacetime <- . ~ . + ns(vax1_day, 3)*region [...] formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group [...] formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental",match,"The paper specifies the outcome, primary predictor/time-varying effect, and adjustment covariates, and the code implements these: covidadmitted as the outcome, vaccine type with a vaccine-specific spline over time since vaccination, and adjustments for age, sex, IMD, ethnicity, region, prior infection, testing, rurality, multimorbidity, learning disability, and severe mental illness. Knot placement based on event times is also implemented via nsevents."
9,"Fully adjusted pooled logistic regression main analysis for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2; used to derive marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Parameter Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination. Knot locations were based on quartiles of the event times.” [...] “Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering.” [...] “Confidence intervals for the vaccine-specific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).” [...] “a sampling strategy was used such that all those who experienced the event of interest are selected (to retain statistical power), and a random sample of 50 000 event-free participants are selected. Person-time is weighted by the inverse of the sampling probability to recover the characteristics of the complete cohort.”","“formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)” [...] “nsevents <- function(x, events, df){
  # this is the same as the `ns` function,
  # except the knot locations are chosen
  # based on the event times only, not on all person-time
  probs <- seq(0,df)/df
  q <- quantile(x[events==1], probs=probs)
  ns(x, knots=q[-c(1, df+1)], Boundary.knots = q[c(1, df+1)])
}” [...] “robustSEs <- lmtest::coeftest(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""))” [...] “robustCIs <- lmtest::coefci(model, vcov. = sandwich::vcovCL(model, cluster = cluster, type = ""HC0""), level = conf.level)” [...] “cmlinc_variance <- function(model, vcov, newdata, id, time, weights){

  # calculate variance of adjusted survival / adjusted cumulative incidence” [...] “prob0 = weighted.mean(prob0, sample_weights)” [...] “sample_outcome = sample_nonoutcomes_n(!is.na(tte_outcome), patient_id, samplesize_nonoutcomes_n)” [...] “sample_weights <- function(had_outcome, sampled){
  ...
  case_when(
    had_outcome ~ 1,
    !had_outcome & !sampled ~ 0,
    !had_outcome & sampled ~ sum(!had_outcome)/sum((sampled) & !had_outcome),
    TRUE ~ NA_real_
  )
}” [...] “action_model(""covidadmitted"", ""timesincevax"", ""1"", ""plr"", 50000)”",match,"The code implements a three-knot spline at event-time quartiles, clustered sandwich standard errors, delta-method style variance for marginal cumulative incidence, and samples 50,000 non-events with inverse-probability weighting, matching the paper’s parameters."
9,"Fully adjusted pooled logistic regression main analysis for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2; used to derive marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Inference Specification,"Standard errors for the PLR model were obtained using the clustered sandwich estimator to account for within-participant clustering. Confidence intervals for the vaccinespecific marginal cumulative incidence, and their difference, were obtained using the delta method (that is, a first-order Taylor series approximation of the variance).","survival.ll = pmax(0, survival+qnorm(0.025)*survivalse) - pmax(0, survival+qnorm(0.975)*survivalse - 1),
        survival.ul = pmin(1, survival+qnorm(0.975)*survivalse) + pmin(0, survival+qnorm(0.025)*survivalse)[...]
      diff.ll = diff+qnorm(0.025)*diff.se,
      diff.ul = diff+qnorm(0.975)*diff.se",match,"The paper specifies delta-method confidence intervals with clustered SEs, and the code implements this by deriving variances and computing 95% CIs using qnorm(0.025/0.975). This matches the stated inference approach."
9,"Fully adjusted pooled logistic regression main analysis for unplanned covid-19–related hospital admission comparing ChAdOx1 versus BNT162b2; used to derive marginal cumulative incidence, absolute risk differences, and hazard ratios over time.",Coding Specification,"“The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Knot locations were based on quartiles of the event times.”","vax1_az = (vax1_type==""az"")*1 [...] formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)",match,The paper specifies that vaccine type is included with a vaccine-specific spline for time since vaccination; the code implements this by coding ChAdOx1 as 1 (BNT162b2 as 0) and interacting this indicator with a spline of time. These specifications are consistent.
10,Sensitivity analysis: fully adjusted pooled logistic regression restricted to participants with no prior SARS-CoV-2 infection for outcome of positive SARS-CoV-2 test.,Test Specification,We compared the effectiveness of a first dose of ChAdOx1 versus BNT162b2 using pooled logistic regression (PLR) 6 7 with time since vaccination as the timescale and with the outcome risk estimated each day.,"# fits some pooled logistic regression models, with different adjustment sets",match,"Both the paper and the code describe using pooled logistic regression for this analysis. The sensitivity analysis repeats the main analysis, which used PLR, and the code’s modeling script explicitly states it fits pooled logistic regression models."
10,Sensitivity analysis: fully adjusted pooled logistic regression restricted to participants with no prior SARS-CoV-2 infection for outcome of positive SARS-CoV-2 test.,Variable Specification,"“We conducted a post-hoc sensitivity analysis that repeated the main analysis in the subgroup of participants who had no evidence of a prior SARS-CoV-2 infection.” [...] “Three outcomes were defined: positive SARS-CoV-2 test; covid-19 related A&E attendance; and unplanned covid-19 related hospital admission. Positive SARS-CoV-2 tests were identified using SGSS records and based on swab date. Both polymerase chain reaction (PCR) and lateral flow positive tests were included, without differentiation between symptomatic and asymptomatic infection.” [...] “The PLR model included vaccine type, and a vaccine-specific three-knot restricted cubic spline for time since vaccination.” [...] “Three models were fit for each outcome, with progressive adjustment for confounders 1 : adjusting for region-specific calendartime effects, by including a two-knot restricted cubic spline for the date of vaccination and its interaction with region 2 ; additionally adjusting for demographic characteristics 3 ; additionally adjusting for clinical characteristics.” [...] “Participant characteristics used to describe the cohort and for confounder adjustment include age, sex (male or female), English Index of Multiple Deprivation (IMD, grouped by quintiles), ethnicity (Black, Mixed, South Asian, White, Other, as per the UK census), NHS region (East of England, Midlands, London, North East and Yorkshire, North West, South East, South West), number of conditions in the clinically ‘at risk’ (but not clinically extremely vulnerable) classification, as per national prioritisation guidelines, the number of SARS-CoV-2 tests (positive or negative) in the 90 days before the study start date (via SGSS), rurality (urban conurbation, urban city or town, rural town or village), evidence of prior SARS-CoV-2 infection (positive test or covid-19 related hospitalisation), learning disabilities, and severe mental illness.”","data_cohort <- read_rds(here(""output"", ""data"", ""data_cohort.rds"")) %>%
  filter(
    prior_covid_infection==0 | (exclude_prior_infection!=1L)
  ) [...] metadata_outcomes <- tribble(
  ~outcome, ~outcome_var, ~outcome_descr,
  ""test"", ""covid_test_date"", ""SARS-CoV-2 test"",
  ""postest"", ""positive_test_date"", ""Positive SARS-CoV-2 test"",
  ""emergency"", ""emergency_date"", ""A&E attendance"",
  ""covidemergency"", ""emergency_covid_date"", ""COVID-19 A&E attendance"",
  ""admitted"", ""admitted_date"", ""Unplanned hospitalisation"",
  ""covidadmitted"", ""covidadmitted_date"", ""COVID-19 hospitalisation"",
  ""covidcc"", ""covidcc_date"", ""COVID-19 critical care"",
  ""coviddeath"", ""coviddeath_date"", ""COVID-19 death"",
  ""noncoviddeath"", ""noncoviddeath_date"", ""Non-COVID-19 death"",
  ""death"", ""death_date"", ""Any death"",
  ""seconddose"", ""covid_vax_any_2_date"", ""Second dose"",
) [...] if(timescale==""timesincevax""){
  formula_timescale_pw <- . ~ . + timesincevax_pw # spline for timescale only
  formula_timescale_ns <- . ~ . + nsevents(tstop, outcome_event, 4) # spline for timescale only
  formula_spacetime <- . ~ . + ns(vax1_day, 3)*region # spline for space-time adjustments

  formula_timesincevax_pw <- . ~ . + vax1_az + vax1_az:timesincevax_pw
  formula_timesincevax_ns <- . ~ . + vax1_az + vax1_az:nsevents(tstop, outcome_event, 4)

} [...] if(exclude_prior_infection==1L){
  formula_exclude_prior_infection <- . ~ . - prior_covid_infection
} else(
  formula_exclude_prior_infection <- . ~ .
) [...] formula_demog <- . ~ . + poly(age, degree=2, raw=TRUE) + sex + imd_Q5 + ethnicity_combined + rural_urban_group [...] formula_comorbs <- . ~ . +
  prior_covid_infection +
  prior_tests_cat +
  multimorb +
  learndis +
  sev_mental [...] formula3_ns <- formula_vaxonly_ns %>% update(formula_spacetime) %>% update(formula_demog) %>% update (formula_comorbs) %>% update(formula_exclude_prior_infection)",match,"Both describe restricting to those without prior infection, using positive SARS‑CoV‑2 test as the outcome, modeling vaccine type with a time‑since‑vaccination spline, and adjusting for region-specific calendar time, demographics, and clinical factors. The code also removes prior_covid_infection from covariates under this restriction, aligning with the subgroup definition."
